week,time range,weather,temp,is_holiday,flow of cars
5,2,0,7,1,399
5,2,0,7,1,401
5,2,0,7,1,303
5,2,0,7,1,396
5,2,0,7,1,373
5,2,0,7,1,203
5,2,0,7,1,261
5,2,0,7,1,236
5,2,0,7,1,209
6,1,0,7,1,211
6,1,0,7,1,158
6,1,0,7,1,184
6,1,0,7,1,143
6,1,0,7,1,169
6,1,0,7,1,152
6,1,0,7,1,135
6,1,0,7,1,101
6,1,0,7,1,100
6,1,0,7,1,115
6,1,0,7,1,128
6,1,0,7,1,89
6,1,0,7,1,64
6,1,0,7,1,111
6,1,0,7,1,82
6,1,0,7,1,49
6,1,0,7,1,58
6,1,0,7,1,50
6,1,0,7,1,61
6,1,0,7,1,65
6,1,0,7,1,92
6,1,0,7,1,77
6,1,0,7,1,75
6,1,0,7,1,100
6,2,0,18,1,117
6,2,0,18,1,99
6,2,0,18,1,156
6,2,0,18,1,248
6,2,0,18,1,335
6,2,0,18,1,284
6,2,0,18,1,481
6,2,0,18,1,410
6,2,0,18,1,450
6,2,0,18,1,422
6,2,0,18,1,429
6,2,0,18,1,478
6,2,0,18,1,384
6,2,0,18,1,480
6,2,0,18,1,420
6,2,0,18,1,546
6,2,0,18,1,585
6,2,0,18,1,740
6,2,0,18,1,570
6,2,0,18,1,428
6,2,0,18,1,519
6,2,0,18,1,535
6,2,0,18,1,568
6,2,0,18,1,601
6,2,0,18,1,535
6,2,0,18,1,497
6,2,0,18,1,472
6,2,0,18,1,586
6,2,0,18,1,552
6,2,0,18,1,523
6,2,0,18,1,556
6,2,0,18,1,464
6,2,0,18,1,499
6,2,0,18,1,544
6,2,0,18,1,653
6,2,0,18,1,616
6,2,0,18,1,504
6,2,0,18,1,553
6,2,0,18,1,560
6,2,0,18,1,545
6,2,0,18,1,581
6,2,0,18,1,540
6,2,0,18,1,614
6,2,0,18,1,467
6,2,0,18,1,544
6,2,0,18,1,532
6,2,0,18,1,594
6,2,0,18,1,641
6,2,0,13,0,562
6,2,0,13,0,568
6,2,0,13,0,573
6,2,0,13,0,600
6,2,0,13,0,393
6,2,0,13,0,476
6,2,0,13,0,540
6,2,0,13,0,489
6,2,0,13,0,482
6,2,0,13,0,564
6,2,0,13,0,415
6,2,0,13,0,386
6,2,0,13,0,396
6,2,0,13,0,440
6,2,0,13,0,481
6,2,0,13,0,350
6,2,0,13,0,423
6,2,0,13,0,343
6,2,0,13,0,324
6,2,0,13,0,233
6,2,0,13,0,282
6,2,0,13,0,222
6,2,0,13,0,192
6,2,0,13,0,191
7,1,0,13,0,241
7,1,0,13,0,195
7,1,0,13,0,161
7,1,0,13,0,158
7,1,0,13,0,141
7,1,0,13,0,152
7,1,0,13,0,144
7,1,0,13,0,153
7,1,0,13,0,149
7,1,0,13,0,155
7,1,0,13,0,146
7,1,0,13,0,155
7,1,0,13,0,160
7,1,0,13,0,111
7,1,0,13,0,131
7,1,0,13,0,84
7,1,0,13,0,137
7,1,0,13,0,163
7,1,0,13,0,130
7,1,0,13,0,98
7,1,0,13,0,103
7,1,0,13,0,82
7,1,0,13,0,69
7,1,0,13,0,86
7,2,0,23,0,97
7,2,0,23,0,136
7,2,0,23,0,342
7,2,0,23,0,423
7,2,0,23,0,670
7,2,0,23,0,696
7,2,0,23,0,843
7,2,0,23,0,802
7,2,0,23,0,718
7,2,0,23,0,586
7,2,0,23,0,517
7,2,0,23,0,531
7,2,0,23,0,434
7,2,0,23,0,463
7,2,0,23,0,491
7,2,0,23,0,424
7,2,0,23,0,487
7,2,0,23,0,458
7,2,0,23,0,502
7,2,0,23,0,487
7,2,0,23,0,572
7,2,0,23,0,486
7,2,0,23,0,447
7,2,0,23,0,427
7,2,0,23,0,415
7,2,0,23,0,367
7,2,0,23,0,371
7,2,0,23,0,415
7,2,0,23,0,435
7,2,0,23,0,428
7,2,0,23,0,455
7,2,0,23,0,452
7,2,0,23,0,466
7,2,0,23,0,585
7,2,0,23,0,562
7,2,0,23,0,619
7,2,0,23,0,464
